,User_ID,Tweet_time,Tweet_ID,Language,Country,Tweet,sentiment
0,340545072,Sun Nov 06 23:59:17 +0000 2016,7.95415288158e+17,en,,"Americans seem to be more afraid of a woman in authority than Trump,Russia, Nuclear weapons, climate change etc etc #Election2016 #ImWithHer",positive
1,779884173746065408,Sun Nov 06 23:53:35 +0000 2016,7.95413854583e+17,en,,"Pick the grown-up.
#election2016
#imwithher
#trump https://t.co/cDxLWbqCGd",positive
2,22966597,Sun Nov 06 23:49:56 +0000 2016,7.95412937268e+17,en,,"Sounds like Trump's team would ""lock him up"" to prevent his itchy Twitter finger. Your next President, America? #Election2016 #ImWithHer",positive
3,38117685,Sun Nov 06 23:42:48 +0000 2016,7.9541113927e+17,en,DE,"#ImWithHer 

Because Trump is unfit to take over the @POTUS account. 🙄 #Election2016",positive
4,1717464030,Sun Nov 06 23:22:23 +0000 2016,7.95406003764e+17,en,,Who is going to win on Tuesday? #Election2016 #MAGA #Trump #draintheswamp #Imwithher #ImWithHim,positive
5,709307784668405761,Sun Nov 06 23:14:20 +0000 2016,7.95403974904e+17,en,,Trump supporters: Watch this with your children and explain HIS words! #WakeUp #ImWithHer #Election2016 #Minnesota https://t.co/rmZsbaTAUh,positive
6,455204986,Sun Nov 06 23:09:33 +0000 2016,7.95402773047e+17,en,,#TrumpLies  #Trump Lies Only When He Breaths!  #ImWithHer #Election2016 https://t.co/9fwK1hMo4f,positive
7,749847982401396736,Sun Nov 06 22:58:40 +0000 2016,7.95400034271e+17,en,,It’s Trump or it’s the end of America https://t.co/LIQU52cjlk via @reviewjournal #imwithher #election2016,positive
8,22806935,Sun Nov 06 22:28:46 +0000 2016,7.95392508981e+17,en,,Great advice from the Germans #beentheredonethat #imwithher2016 #Election2016 #trump https://t.co/Zk0FXN2XUp,positive
9,45160435,Sun Nov 06 22:16:10 +0000 2016,7.95389337244e+17,en,,#Election2016 has unleashed the fury of white male #Trump supporters whose power has waned. #Hillyes #ImWithHer https://t.co/SFz7d8d6Rj,positive
10,3711457934,Sun Nov 06 22:09:54 +0000 2016,7.95387761214e+17,en,,"Donald Trump is endorsed by the KKK. I don't know what more needs to be said...

https://t.co/PZs7KSasxP

#Election2016 #imwithher",positive
11,15704927,Sun Nov 06 22:08:42 +0000 2016,7.95387458754e+17,en,,"That #Election2016 seems so close should be an embarrassment to #GOP. #Trump embodies the worst of America, not the best. #ImWithHer #GOTV",positive
12,267390883,Sun Nov 06 21:51:28 +0000 2016,7.95383124092e+17,en,,For once I agree with Trump supporters :) FBI influencing elections needs to be cleaned up #Election2016 #FBI #ImWithHer,positive
13,130602096,Sun Nov 06 21:41:42 +0000 2016,7.95380662874e+17,en,US,Trump has to have his Twitter taken away. How can we trust him with nuclear codes? https://t.co/goo34QAtVR #Election2016 #ImWithHer,positive
14,2559210175,Sun Nov 06 21:39:54 +0000 2016,7.95380211445e+17,en,,"All of this.

#ImWithHer #NeverTrump #Trump #Germany #Republicans #GOP #Conservatives #Election2016.

Oh, and both… https://t.co/m59Pu7n5l2",positive
15,252834956,Sun Nov 06 21:30:36 +0000 2016,7.95377869099e+17,en,,I can't believe virtually nothing was made about Pence's belief that being gay can be cured by therapy. #Election2016 #trump #ImWithHer,positive
16,725057289539997697,Sun Nov 06 21:29:31 +0000 2016,7.95377597329e+17,en,,I know more about the US than @realDonaldTrump elect me https://t.co/XO5Zup2EyT #Election2016 #StrongerTogether,positive
17,926861748,Sun Nov 06 21:26:08 +0000 2016,7.95376748184e+17,en,,Now we can get back to crushing Trump before we were so rudely interrupted. #ImWithHer #NeverTrump #Election2016… https://t.co/6GPDlFpNKI,positive
18,2750414671,Sun Nov 06 21:18:06 +0000 2016,7.95374725808e+17,en,US,I'm going to find it hilarious when Trump's check for @KellyannePolls 's services bounces. #Election2016 #ImWithHer,positive
19,441535237,Sun Nov 06 21:15:18 +0000 2016,7.95374018887e+17,en,,"""Lock her up"" vs ""Don't boo, vote"" should tell you all you need to know #Election2016 #Trump #ImWithHer #gop",positive
